Day,Calories Burned,Steps,Distance,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
15-Apr,2128.00,9693.00,4.14,634.00,261.00,3.00,20.00,984.00,403.00,66.00,23.00,469.00,55.00,303.00,45.00
16-Apr,2229.00,9870.00,4.39,691.00,244.00,7.00,29.00,1044.00,428.00,54.00,33.00,482.00,89.00,256.00,83.00
17-Apr,2177.00,11596.00,5.34,686.00,228.00,11.00,33.00,1023.00,410.00,46.00,25.00,456.00,85.00,223.00,102.00
18-Apr,2128.00,10279.00,4.83,725.00,206.00,9.00,44.00,980.00,391.00,55.00,24.00,446.00,58.00,234.00,99.00
19-Apr,2006.00,7942.00,3.32,755.00,197.00,26.00,16.00,833.00,408.00,67.00,26.00,475.00,71.00,263.00,74.00
20-Apr,3019.00,21330.00,9.10,432.00,366.00,112.00,55.00,2107.00,230.00,44.00,13.00,274.00,0.00,122.00,44.00
21-Apr,2700.00,13731.00,5.74,720.00,329.00,81.00,36.00,1708.00,423.00,52.00,25.00,475.00,88.00,241.00,94.00
22-Apr,2450.00,14868.00,6.53,587.00,309.00,23.00,46.00,1389.00,399.00,35.00,25.00,434.00,100.00,198.00,101.00
23-Apr,2315.00,13038.00,5.52,660.00,272.00,35.00,39.00,1235.00,408.00,62.00,25.00,470.00,74.00,274.00,60.00
24-Apr,2020.00,8937.00,3.88,722.00,209.00,6.00,33.00,859.00,389.00,66.00,29.00,455.00,35.00,296.00,58.00
25-Apr,1890.00,4117.00,1.72,748.00,237.00,0.00,0.00,710.00,455.00,55.00,30.00,510.00,60.00,331.00,64.00
26-Apr,2032.00,4154.00,1.74,639.00,291.00,0.00,0.00,883.00,395.00,54.00,25.00,449.00,82.00,243.00,70.00
27-Apr,2274.00,8513.00,3.56,639.00,296.00,48.00,8.00,1192.00,305.00,40.00,15.00,345.00,31.00,227.00,47.00
28-Apr,2367.00,8931.00,3.73,693.00,369.00,33.00,0.00,1363.00,409.00,62.00,28.00,471.00,50.00,295.00,64.00
29-Apr,2262.00,11982.00,5.70,690.00,225.00,11.00,43.00,1127.00,398.00,51.00,26.00,449.00,66.00,228.00,104.00
30-Apr,2171.00,10431.00,4.47,717.00,219.00,26.00,29.00,1021.00,383.00,57.00,16.00,440.00,94.00,206.00,83.00
01-May,2513.00,17157.00,7.49,641.00,249.00,39.00,71.00,1441.00,389.00,63.00,27.00,452.00,10.00,278.00,101.00
02-May,2201.00,11274.00,4.71,663.00,239.00,58.00,28.00,1113.00,399.00,52.00,26.00,451.00,88.00,262.00,49.00
03-May,2197.00,11121.00,4.69,695.00,216.00,39.00,39.00,1075.00,340.00,36.00,21.00,376.00,48.00,210.00,82.00
04-May,2464.00,11686.00,4.89,658.00,334.00,46.00,26.00,1423.00,319.00,55.00,15.00,374.00,35.00,203.00,81.00
05-May,2057.00,6888.00,2.91,761.00,305.00,0.00,0.00,948.00,406.00,51.00,15.00,457.00,78.00,264.00,64.00
06-May,2260.00,12928.00,6.13,693.00,226.00,23.00,41.00,1140.00,431.00,67.00,25.00,498.00,65.00,298.00,68.00
07-May,2034.00,7507.00,3.36,672.00,249.00,6.00,15.00,890.00,420.00,51.00,23.00,471.00,88.00,230.00,102.00
08-May,2302.00,13527.00,6.26,667.00,244.00,12.00,46.00,1171.00,389.00,62.00,33.00,451.00,55.00,274.00,60.00
09-May,2417.00,9531.00,4.01,593.00,348.00,29.00,19.00,1392.00,174.00,47.00,9.00,221.00,0.00,134.00,40.00
10-May,3180.00,22329.00,9.34,616.00,442.00,74.00,87.00,2344.00,352.00,48.00,22.00,400.00,63.00,218.00,71.00
11-May,2498.00,13065.00,5.49,618.00,386.00,25.00,11.00,1440.00,218.00,27.00,9.00,245.00,48.00,118.00,52.00
12-May,2699.00,19265.00,8.08,713.00,361.00,89.00,32.00,1738.00,389.00,13.00,1.00,402.00,0.00,0.00,0.00
